pop	state	county	tract
4932	39	001	770100
4956	39	001	770200
7192	39	001	770300
4769	39	001	770400
3096	39	001	770500
3397	39	001	770600
4394	39	003	010100
4225	39	003	010200
1584	39	003	010300
5016	39	003	010600
7480	39	003	010800
4637	39	003	010900
6456	39	003	011000
2757	39	003	011200
7249	39	003	011300
3014	39	003	011400
2747	39	003	011500
2584	39	003	011600
2560	39	003	011800
3001	39	003	011900
2272	39	003	012000
3444	39	003	012100
3448	39	003	012200
3962	39	003	012300
2686	39	003	012400
2096	39	003	012600
1872	39	003	012700
1686	39	003	012900
4430	39	003	013000
2253	39	003	013100
1799	39	003	013200
1269	39	003	013300
2670	39	003	013400
1251	39	003	013600
1175	39	003	013700
2761	39	003	013800
3395	39	003	013900
3350	39	003	014000
2039	39	003	014100
8355	39	005	970100
5944	39	005	970200
3924	39	005	970300
3703	39	005	970400
2759	39	005	970500
5364	39	005	970600
5409	39	005	970700
4009	39	005	970800
4956	39	005	970900
4985	39	005	971000
3794	39	005	971100
4763	39	007	000101
3474	39	007	000102
3729	39	007	000103
4410	39	007	000200
2127	39	007	000300
1787	39	007	000400
4370	39	007	000500
2538	39	007	000601
3215	39	007	000602
4204	39	007	000603
3124	39	007	000701
2437	39	007	000702
3871	39	007	000703
4323	39	007	000704
1901	39	007	000801
5421	39	007	000802
4587	39	007	000900
5535	39	007	001001
3279	39	007	001002
2123	39	007	001101
5972	39	007	001102
7410	39	007	001200
3922	39	007	001301
3837	39	007	001302
7987	39	007	001400
0	39	007	990000
4427	39	009	972600
3890	39	009	972700
4610	39	009	972800
5281	39	009	972900
3626	39	009	973000
4167	39	009	973101
5137	39	009	973200
3881	39	009	973300
3573	39	009	973400
3697	39	009	973500
3562	39	009	973600
3759	39	009	973700
4922	39	009	973800
6658	39	009	973901
3650	39	009	973902
4049	39	011	040100
4289	39	011	040200
3636	39	011	040300
6515	39	011	040400
4841	39	011	040500
3560	39	011	040600
3747	39	011	040900
3660	39	011	041000
4182	39	011	041100
2000	39	011	041201
5388	39	011	041202
4265	39	013	010100
4090	39	013	010200
3213	39	013	010300
3531	39	013	010600
2644	39	013	010700
2583	39	013	010802
6461	39	013	010900
4810	39	013	011000
3877	39	013	011200
3885	39	013	011300
4467	39	013	011400
1605	39	013	011500
1256	39	013	011600
1390	39	013	011700
2862	39	013	011900
2670	39	013	012000
1303	39	013	012100
6187	39	013	012200
4113	39	013	012300
4581	39	013	012400
4308	39	015	951201
4571	39	015	951202
8313	39	015	951300
4232	39	015	951400
5311	39	015	951500
3668	39	015	951600
2735	39	015	951700
5425	39	015	951800
5901	39	015	951900
4408	39	017	000100
4470	39	017	000200
3131	39	017	000300
4162	39	017	000400
4670	39	017	000500
5277	39	017	000600
5204	39	017	001001
5882	39	017	001002
4479	39	017	001100
4507	39	017	001300
6675	39	017	010101
2795	39	017	010102
5894	39	017	010103
4999	39	017	010104
1988	39	017	010201
4236	39	017	010202
5569	39	017	010203
4490	39	017	010301
3587	39	017	010302
2360	39	017	010500
3464	39	017	010600
6609	39	017	010800
4512	39	017	010901
5048	39	017	010903
3734	39	017	010904
7528	39	017	010906
2451	39	017	010907
5212	39	017	010908
5039	39	017	010909
4475	39	017	010910
4154	39	017	010911
12770	39	017	011002
6195	39	017	011003
5868	39	017	011004
4226	39	017	011109
5272	39	017	011110
6831	39	017	011111
5427	39	017	011112
8316	39	017	011116
11450	39	017	011117
3197	39	017	011118
7544	39	017	011120
7983	39	017	011121
5493	39	017	011122
4571	39	017	011123
3525	39	017	011125
6376	39	017	011126
4551	39	017	011127
3275	39	017	011128
3783	39	017	011129
5151	39	017	011130
2909	39	017	011131
7732	39	017	011200
5253	39	017	011300
5585	39	017	011800
3234	39	017	012100
3194	39	017	012200
2455	39	017	012300
2258	39	017	012400
4870	39	017	012500
2530	39	017	012600
2971	39	017	012700
1318	39	017	013000
2041	39	017	013100
3750	39	017	013200
2134	39	017	013300
2270	39	017	013400
3120	39	017	013500
4997	39	017	013600
2715	39	017	013900
2344	39	017	014000
2262	39	017	014100
4695	39	017	014300
1588	39	017	014400
1053	39	017	014600
3937	39	017	014700
7192	39	017	014800
5006	39	017	014900
7708	39	017	015000
7220	39	017	015100
3559	39	019	720100
3650	39	019	720200
5178	39	019	720300
4161	39	019	720400
5327	39	019	720500
3482	39	019	720600
3182	39	019	720700
2000	39	021	010100
7303	39	021	010200
4146	39	021	010400
4143	39	021	010500
3883	39	021	010600
2745	39	021	011001
4307	39	021	011501
4859	39	021	011504
3389	39	021	011505
2853	39	021	011506
1689	39	023	000200
1360	39	023	000300
1995	39	023	000400
1503	39	023	000500
2700	39	023	000600
2829	39	023	000700
2618	39	023	000901
1061	39	023	000902
1467	39	023	001000
1410	39	023	001101
3136	39	023	001102
4541	39	023	001200
3614	39	023	001300
3477	39	023	001400
4965	39	023	001500
4155	39	023	001600
2442	39	023	001700
2857	39	023	001900
2165	39	023	002000
1680	39	023	002100
4259	39	023	002200
3205	39	023	002301
3962	39	023	002403
3129	39	023	002404
2139	39	023	002501
2979	39	023	002502
3819	39	023	002601
4067	39	023	002602
3772	39	023	002605
7548	39	023	002606
3413	39	023	002701
2373	39	023	002702
4619	39	023	002800
3830	39	023	002901
4358	39	023	002902
3057	39	023	003001
3411	39	023	003002
2580	39	023	003101
2046	39	023	003102
2773	39	023	003200
3545	39	023	003301
2519	39	023	003302
3711	39	023	003400
4525	39	023	003700
4846	39	025	040101
3074	39	025	040102
2313	39	025	040202
6511	39	025	040203
6796	39	025	040204
3732	39	025	040301
3462	39	025	040302
7554	39	025	040303
3743	39	025	040401
2791	39	025	040403
3733	39	025	040404
2848	39	025	040405
4706	39	025	040500
6730	39	025	040600
6714	39	025	040701
3966	39	025	040702
5963	39	025	040800
5812	39	025	040900
7647	39	025	041000
2815	39	025	041101
4492	39	025	041102
8587	39	025	041103
8622	39	025	041200
5362	39	025	041303
44	39	025	041304
5129	39	025	041305
4159	39	025	041306
4538	39	025	041307
4296	39	025	041403
4183	39	025	041404
5730	39	025	041405
4954	39	025	041406
6858	39	025	041501
7665	39	025	041502
5228	39	025	041600
4688	39	025	041701
3175	39	025	041702
3790	39	025	041800
5665	39	025	041900
6529	39	025	042000
3895	39	027	964300
5168	39	027	964400
6700	39	027	964500
2490	39	027	964600
5561	39	027	964700
4987	39	027	964800
5031	39	027	964900
4035	39	027	965000
4004	39	027	965100
5800	39	029	950100
4705	39	029	950200
5184	39	029	950300
4472	39	029	950400
5934	39	029	950500
5241	39	029	950600
5188	39	029	950700
4385	39	029	950800
3953	39	029	950900
5650	39	029	951000
4906	39	029	951100
4749	39	029	951200
3668	39	029	951300
7529	39	029	951400
4387	39	029	951500
5711	39	029	951600
4912	39	029	951700
3289	39	029	951800
3651	39	029	951900
2713	39	029	952000
1251	39	029	952100
2014	39	029	952200
3164	39	029	952300
4166	39	029	952400
4485	39	031	960900
4960	39	031	961000
4414	39	031	961100
2673	39	031	961200
3955	39	031	961300
3440	39	031	961400
2371	39	031	961500
2561	39	031	961600
2798	39	031	961700
5111	39	031	961800
3447	39	033	974100
4135	39	033	974200
2857	39	033	974300
3613	39	033	974400
3930	39	033	974500
2605	39	033	974600
3996	39	033	974700
2134	39	033	974800
3370	39	033	974900
3864	39	033	975000
2890	39	033	975100
2689	39	033	975200
3506	39	033	975300
1720	39	035	101101
4371	39	035	101102
2417	39	035	101200
1856	39	035	101300
1973	39	035	101400
2398	39	035	101501
2363	39	035	101603
2560	39	035	101700
2332	39	035	101800
1598	39	035	101901
3161	39	035	102101
2572	39	035	102102
2922	39	035	102200
2186	39	035	102300
2204	39	035	102401
3154	39	035	102402
3825	39	035	102700
1746	39	035	102800
2106	39	035	102900
1071	39	035	103100
2333	39	035	103300
2382	39	035	103400
2121	39	035	103500
3325	39	035	103602
1880	39	035	103800
1775	39	035	103900
997	39	035	104100
1174	39	035	104200
1821	39	035	104300
1431	39	035	104400
1221	39	035	104600
2011	39	035	104800
2170	39	035	104900
3203	39	035	105100
2911	39	035	105300
3626	39	035	105400
1877	39	035	105500
2477	39	035	105602
4272	39	035	105700
2926	39	035	105900
3696	39	035	106100
3791	39	035	106200
3213	39	035	106300
1037	39	035	106400
2859	39	035	106500
3725	39	035	106600
3062	39	035	106800
3780	39	035	106900
1587	39	035	107000
4628	39	035	107101
1944	39	035	107701
3738	39	035	107802
1551	39	035	108201
1450	39	035	108301
1232	39	035	108400
4067	39	035	108701
1410	39	035	109301
2282	39	035	109701
1781	39	035	109801
710	39	035	110501
1238	39	035	110801
3079	39	035	110901
1340	39	035	111202
1262	39	035	111401
975	39	035	111500
1284	39	035	111600
990	39	035	111700
774	39	035	111800
752	39	035	111902
1687	39	035	112100
1178	39	035	112200
1423	39	035	112301
1042	39	035	112400
1437	39	035	112500
1083	39	035	112600
1132	39	035	112800
821	39	035	113101
1276	39	035	113500
993	39	035	113600
1760	39	035	113801
1172	39	035	114100
1563	39	035	114300
1224	39	035	114501
1252	39	035	114600
458	39	035	114700
1923	39	035	114900
1176	39	035	115100
910	39	035	115200
932	39	035	115300
1571	39	035	115400
1607	39	035	115700
3380	39	035	115800
3786	39	035	115900
1042	39	035	116100
1018	39	035	116200
1937	39	035	116300
3238	39	035	116400
2024	39	035	116500
2577	39	035	116600
1657	39	035	116700
2678	39	035	116800
1299	39	035	116900
2795	39	035	117101
1213	39	035	117102
3200	39	035	117201
1861	39	035	117202
2514	39	035	117300
1531	39	035	117400
2847	39	035	117500
3105	39	035	117600
4795	39	035	117700
2214	39	035	117800
2412	39	035	117900
2017	39	035	118101
1961	39	035	118200
2619	39	035	118301
1683	39	035	118400
892	39	035	118500
2261	39	035	118602
3670	39	035	118700
2740	39	035	118800
1561	39	035	118900
142	39	035	119100
1122	39	035	119202
3793	39	035	119300
1870	39	035	119401
1774	39	035	119402
2769	39	035	119501
1983	39	035	119502
2331	39	035	119600
1432	39	035	119701
2025	39	035	119702
3737	39	035	119800
1739	39	035	119900
2465	39	035	120200
2396	39	035	120400
2725	39	035	120500
2602	39	035	120600
1498	39	035	120701
1627	39	035	120702
1964	39	035	120801
1916	39	035	120802
2249	39	035	121100
1665	39	035	121200
2331	39	035	121300
2004	39	035	121401
2639	39	035	121403
3298	39	035	121500
3659	39	035	121700
1889	39	035	121800
1296	39	035	121900
3310	39	035	122100
1660	39	035	122200
2067	39	035	122300
2575	39	035	123100
3225	39	035	123200
3745	39	035	123400
3224	39	035	123501
2888	39	035	123502
3017	39	035	123601
2972	39	035	123602
3299	39	035	123603
2440	39	035	123700
2241	39	035	123800
2678	39	035	123900
4920	39	035	124100
2853	39	035	124201
1654	39	035	124202
4647	39	035	124300
3776	39	035	124500
3940	39	035	124600
2859	39	035	126100
3306	39	035	127501
4492	39	035	130103
4240	39	035	130104
3355	39	035	130105
3421	39	035	130106
3410	39	035	131102
4084	39	035	131103
4361	39	035	131104
4652	39	035	132100
2842	39	035	132200
3468	39	035	132301
1965	39	035	132302
3257	39	035	133103
2619	39	035	133104
1449	39	035	134100
3345	39	035	134203
4324	39	035	134204
2910	39	035	134205
3021	39	035	134206
3995	39	035	134300
2254	39	035	135103
4021	39	035	135104
6003	39	035	135105
1265	39	035	135106
5779	39	035	136101
7690	39	035	136102
5840	39	035	136103
2512	39	035	137101
4414	39	035	137102
4121	39	035	137103
1310	39	035	138105
3464	39	035	138106
2121	39	035	138107
4093	39	035	138108
4102	39	035	138109
3937	39	035	138110
1500	39	035	140100
2305	39	035	140301
2540	39	035	140302
3012	39	035	140400
3511	39	035	140500
986	39	035	140600
2230	39	035	140701
1664	39	035	140702
3831	39	035	140800
2044	39	035	140900
1151	39	035	141000
4267	39	035	141100
3122	39	035	141200
2932	39	035	141300
2677	39	035	141400
1747	39	035	141500
1658	39	035	141601
1411	39	035	141602
1479	39	035	141700
2302	39	035	150100
1856	39	035	150300
1349	39	035	150400
1358	39	035	151100
1391	39	035	151200
2016	39	035	151300
1576	39	035	151400
1376	39	035	151500
1338	39	035	151600
1251	39	035	151700
1806	39	035	151800
2260	39	035	152101
4189	39	035	152102
3185	39	035	152201
3691	39	035	152202
2678	39	035	152301
4752	39	035	152302
3923	39	035	152303
1907	39	035	152400
3530	39	035	152501
2629	39	035	152502
1008	39	035	152603
4396	39	035	152604
2181	39	035	152701
2301	39	035	152702
1806	39	035	152703
2623	39	035	153103
3058	39	035	153104
3846	39	035	153105
3549	39	035	153106
3549	39	035	153107
2006	39	035	154100
1492	39	035	154200
1035	39	035	154300
2889	39	035	154400
3629	39	035	154501
2929	39	035	154502
4959	39	035	154601
3240	39	035	154603
3655	39	035	154604
2658	39	035	154700
5239	39	035	155101
3085	39	035	155102
1299	39	035	156101
5837	39	035	156102
1967	39	035	160100
2149	39	035	160200
1971	39	035	160300
3190	39	035	160400
3519	39	035	160500
5072	39	035	160601
3031	39	035	160602
1785	39	035	160700
983	39	035	160800
3752	39	035	160900
1839	39	035	161000
3715	39	035	161100
2906	39	035	161200
2866	39	035	161300
3317	39	035	161400
3865	39	035	161500
2179	39	035	161600
2180	39	035	161700
1148	39	035	161800
2737	39	035	170101
5284	39	035	170102
2032	39	035	170201
3803	39	035	170202
4801	39	035	171102
3903	39	035	171103
4641	39	035	171104
2642	39	035	171203
1825	39	035	171204
2691	39	035	171205
2377	39	035	171206
2536	39	035	172101
3669	39	035	172102
5014	39	035	172103
3937	39	035	172201
3817	39	035	172202
2874	39	035	173103
4130	39	035	173104
2503	39	035	173105
3784	39	035	173106
2532	39	035	173107
2959	39	035	174103
2280	39	035	174104
2955	39	035	174105
2915	39	035	174106
4006	39	035	174107
3215	39	035	174203
3867	39	035	174204
4817	39	035	174205
2002	39	035	174206
3358	39	035	174207
6825	39	035	175103
6346	39	035	175104
4865	39	035	175105
3040	39	035	175106
6168	39	035	175201
3109	39	035	175202
2043	39	035	176100
5741	39	035	176200
3943	39	035	177101
3907	39	035	177103
3566	39	035	177104
3915	39	035	177201
3667	39	035	177202
2356	39	035	177302
4816	39	035	177303
3408	39	035	177304
3225	39	035	177403
2877	39	035	177404
4385	39	035	177405
4181	39	035	177406
4107	39	035	177501
3770	39	035	177503
3999	39	035	177504
4342	39	035	177505
2069	39	035	177604
2896	39	035	177605
3561	39	035	177606
4233	39	035	177607
5335	39	035	177608
2141	39	035	177609
2793	39	035	178101
4995	39	035	178102
3453	39	035	178201
4434	39	035	178204
2061	39	035	178205
2754	39	035	178206
3279	39	035	179101
2800	39	035	179102
3863	39	035	180102
3563	39	035	180103
3082	39	035	180104
6112	39	035	181100
5854	39	035	181201
3124	39	035	181203
5055	39	035	181204
2613	39	035	182103
2526	39	035	182104
3466	39	035	182105
3130	39	035	182106
2956	39	035	183100
2406	39	035	183200
4374	39	035	183300
2154	39	035	183401
1245	39	035	183402
3291	39	035	183501
3669	39	035	183502
1351	39	035	183603
2194	39	035	183604
2816	39	035	183605
1615	39	035	183606
3910	39	035	184103
1811	39	035	184104
4761	39	035	184105
2342	39	035	184106
7324	39	035	184108
2546	39	035	185101
2804	39	035	185102
2199	39	035	185103
3871	39	035	185104
1746	39	035	185201
5190	39	035	185202
3696	39	035	185203
4276	39	035	186103
2669	39	035	186104
3470	39	035	186105
5108	39	035	186106
5722	39	035	186107
5754	39	035	186201
4752	39	035	186202
3697	39	035	186203
5034	39	035	186205
4167	39	035	186206
2993	39	035	187103
3275	39	035	187104
3123	39	035	187105
4013	39	035	187106
3532	39	035	188103
1688	39	035	188104
3360	39	035	188105
2338	39	035	188106
2424	39	035	188107
4150	39	035	189105
4795	39	035	189107
5218	39	035	189108
3243	39	035	189109
4377	39	035	189110
6841	39	035	189111
3889	39	035	189112
2242	39	035	190502
1736	39	035	190503
10544	39	035	190504
1518	39	035	192300
1169	39	035	192800
1975	39	035	192900
954	39	035	193800
1044	39	035	193900
2272	39	035	194100
3432	39	035	194300
2250	39	035	194500
1004	39	035	194800
3292	39	035	194900
4804	39	035	195600
4763	39	035	195700
3911	39	035	195800
4186	39	035	195900
1590	39	035	196000
2577	39	035	196100
3877	39	035	196200
3922	39	035	196300
2672	39	035	196400
1544	39	035	196500
0	39	035	980100
0	39	035	980500
0	39	035	981100
0	39	035	990000
4029	39	037	500100
3898	39	037	510100
3194	39	037	520100
4455	39	037	530100
3409	39	037	540100
3519	39	037	550100
5953	39	037	555000
3836	39	037	555101
4097	39	037	555102
7361	39	037	560100
3001	39	037	570101
5785	39	037	570102
4408	39	039	958100
5043	39	039	958200
4007	39	039	958300
4220	39	039	958400
4355	39	039	958500
3798	39	039	958600
4490	39	039	958700
3197	39	039	958800
5277	39	039	958900
5604	39	041	010100
5595	39	041	010200
2919	39	041	010420
2459	39	041	010421
5959	39	041	010422
5357	39	041	010520
3125	39	041	010530
3027	39	041	011101
5282	39	041	011102
3112	39	041	011200
2916	39	041	011411
4676	39	041	011412
7091	39	041	011413
6602	39	041	011421
6953	39	041	011423
2710	39	041	011430
3662	39	041	011520
3735	39	041	011530
5685	39	041	011540
8920	39	041	011550
8339	39	041	011560
4649	39	041	011561
5646	39	041	011604
6121	39	041	011710
6755	39	041	011730
5752	39	041	011740
6761	39	041	011750
4526	39	041	011760
5399	39	041	011762
5213	39	041	011900
5247	39	041	012000
7184	39	041	012100
4844	39	041	012200
4379	39	041	012300
5617	39	041	012400
5830	39	043	040100
3763	39	043	040200
6190	39	043	040300
5359	39	043	040400
5070	39	043	040500
895	39	043	040600
3959	39	043	040700
4170	39	043	040800
3389	39	043	040900
3321	39	043	041000
3746	39	043	041100
2475	39	043	041200
3763	39	043	041300
2644	39	043	041400
3462	39	043	041500
5782	39	043	041600
6356	39	043	041700
6242	39	043	041800
0	39	043	990100
3818	39	045	030100
3069	39	045	030200
3355	39	045	030300
4615	39	045	030400
9684	39	045	030600
3263	39	045	030700
5358	39	045	030800
8018	39	045	030900
5544	39	045	031000
6064	39	045	031100
4949	39	045	031200
3159	39	045	031300
6797	39	045	031400
2753	39	045	031500
6236	39	045	031600
4312	39	045	031700
2969	39	045	032000
3629	39	045	032100
3816	39	045	032200
4210	39	045	032300
6203	39	045	032500
6793	39	045	032600
4228	39	045	032701
7738	39	045	032702
4121	39	045	032800
10242	39	045	032900
4220	39	045	033000
8904	39	045	033100
4035	39	047	925800
3783	39	047	925900
3760	39	047	926000
4908	39	047	926100
4816	39	047	926200
3415	39	047	926300
4158	39	047	926400
3627	39	049	000110
3128	39	049	000120
3289	39	049	000210
3913	39	049	000220
3053	39	049	000310
2398	39	049	000320
2334	39	049	000330
2472	39	049	000410
3238	39	049	000420
4611	39	049	000500
3990	39	049	000600
3529	39	049	000710
2354	39	049	000720
3351	39	049	000730
2721	39	049	000810
2700	39	049	000820
3734	39	049	000910
1710	39	049	000920
4829	39	049	001000
3034	39	049	001110
8826	39	049	001121
3135	39	049	001122
4127	39	049	001200
5289	39	049	001300
1843	39	049	001400
1964	39	049	001500
1260	39	049	001600
1979	39	049	001700
3595	39	049	001810
2663	39	049	001820
2211	39	049	001901
3421	39	049	001902
3412	39	049	002000
1609	39	049	002100
1874	39	049	002200
1330	39	049	002300
3192	39	049	002510
2593	39	049	002520
3906	39	049	002600
1875	39	049	002710
2208	39	049	002730
2403	39	049	002740
2373	39	049	002750
3420	39	049	002760
2042	39	049	002770
2359	39	049	002780
2182	39	049	002800
2527	39	049	002900
3310	39	049	003000
2464	39	049	003200
1436	39	049	003600
3113	39	049	003700
2115	39	049	003800
2957	39	049	004000
692	39	049	004200
5090	39	049	004300
4624	39	049	004500
2960	39	049	004610
2352	39	049	004620
